respondent_id,academic_stress,psych_distress,self_efficacy,social_support,burnout_score,burnout_class,sleep_hours,screen_time
S001,3.8,4.0,2.5,2.0,3.86,1,5-6,4-6h
S002,2.6,2.3,4.0,4.5,2.43,0,7-8,2-4h
S003,4.2,4.3,2.0,2.5,4.14,1,4-5,6-8h
S004,3.0,2.8,3.5,3.5,2.86,0,6-7,2-4h
S005,3.6,3.7,3.0,3.0,3.43,1,5-6,4-6h
S006,2.2,1.9,4.5,4.0,2.00,0,7-8,<2h
S007,4.6,4.7,1.5,1.5,4.57,1,<5,>8h
S008,3.4,3.1,3.0,3.5,3.14,0,6-7,4-6h
S009,3.9,4.1,2.5,2.5,3.86,1,5-6,6-8h
S010,2.8,2.5,3.5,4.0,2.57,0,7-8,2-4h
S011,4.0,3.9,2.0,3.0,3.71,1,4-5,4-6h
S012,2.4,2.1,4.0,4.5,2.14,0,>8,<2h
S013,3.7,3.8,2.5,2.0,3.71,1,5-6,6-8h
S014,3.1,2.9,3.5,3.5,2.86,0,6-7,2-4h
S015,4.4,4.5,1.5,2.0,4.43,1,<5,>8h
S016,2.9,2.6,3.5,4.0,2.57,0,7-8,2-4h
S017,3.5,3.6,3.0,2.5,3.43,1,5-6,4-6h
S018,2.7,2.4,4.0,4.0,2.29,0,7-8,<2h
S019,4.1,4.2,2.0,2.0,4.14,1,4-5,6-8h
S020,3.2,3.0,3.5,3.5,3.00,0,6-7,4-6h
